Id;Title;PosterPath;Popularity;VoteCount
"346";"Seven Samurai";"https://image.tmdb.org/t/p/w500/lOMGc8bnSwQhS4XyE1S99uH8NXf.jpg";"5,7703";"3940"
"348";"Alien";"https://image.tmdb.org/t/p/w500/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg";"14,5676";"15425"
"350";"The Devil Wears Prada";"https://image.tmdb.org/t/p/w500/8912AsVuS7Sj915apArUFbv6F9L.jpg";"14,0701";"12400"
"364";"Batman Returns";"https://image.tmdb.org/t/p/w500/jKBjeXM7iBBV9UkUcOXx3m7FSHY.jpg";"8,7546";"6733"
"378";"Raising Arizona";"https://image.tmdb.org/t/p/w500/tPX13Qpq1SjqPzzMIaFtL8G4lYA.jpg";"3,9271";"2182"
"380";"Rain Man";"https://image.tmdb.org/t/p/w500/iTNHwO896WKkaoPtpMMS74d8VNi.jpg";"6,5214";"6630"
"388";"Inside Man";"https://image.tmdb.org/t/p/w500/ffMUgkDZICNiyaws1Jkv8qG8uFW.jpg";"6,4317";"6001"
"389";"12 Angry Men";"https://image.tmdb.org/t/p/w500/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg";"21,0129";"9254"
"391";"A Fistful of Dollars";"https://image.tmdb.org/t/p/w500/lBwOEpwVeUAmrmglcstnaGcJq3Y.jpg";"5,0626";"4439"
"392";"Chocolat";"https://image.tmdb.org/t/p/w500/2WehPFFTcwaoZbOD8lgOb120ssb.jpg";"3,2688";"3359"
"393";"Kill Bill: Vol. 2";"https://image.tmdb.org/t/p/w500/2yhg0mZQMhDyvUQ4rG1IZ4oIA8L.jpg";"13,5928";"14332"
"395";"AVP: Alien vs. Predator";"https://image.tmdb.org/t/p/w500/ySWu5bCnnmgV1cVacvFnFIhgOjp.jpg";"4,1764";"4630"
"396";"Who's Afraid of Virginia Woolf?";"https://image.tmdb.org/t/p/w500/wF7ihB5V5gSm6zxjv3ZhHOpgREI.jpg";"2,0005";"859"
"398";"Capote";"https://image.tmdb.org/t/p/w500/tzsxkZMnJvozpHQEl1KzO8KwWu.jpg";"2,1482";"1532"
"402";"Basic Instinct";"https://image.tmdb.org/t/p/w500/76Ts0yoHk8kVQj9MMnoMixhRWoh.jpg";"7,9291";"4078"
"403";"Driving Miss Daisy";"https://image.tmdb.org/t/p/w500/iaCzvcY42HihFxQBTZCTKMpsI0P.jpg";"2,4732";"1648"
"404";"The Straight Story";"https://image.tmdb.org/t/p/w500/tT9cMiVDdtlcdZxOoFy3VRmEoKk.jpg";"1,9975";"1656"
"408";"Snow White and the Seven Dwarfs";"https://image.tmdb.org/t/p/w500/3VAHfuNb6Z7UiW12iYKANSPBl8m.jpg";"9,6713";"7679"
"414";"Batman Forever";"https://image.tmdb.org/t/p/w500/i0fJS8M5UKoETjjJ0zwUiKaR8tr.jpg";"6,9518";"5319"
"415";"Batman & Robin";"https://image.tmdb.org/t/p/w500/i7hEUpDuMN2LOrCEifFyGSHZQSY.jpg";"7,5303";"5155"
"421";"The Life Aquatic with Steve Zissou";"https://image.tmdb.org/t/p/w500/qZoFLNBC78jzboWeDH6Ha0qavF2.jpg";"2,6876";"2989"
"422";"8½";"https://image.tmdb.org/t/p/w500/2cPK4xKtccKmYsCSpaFGWnfEsZX.jpg";"2,357";"2391"
"423";"The Pianist";"https://image.tmdb.org/t/p/w500/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg";"8,3197";"9585"
"424";"Schindler's List";"https://image.tmdb.org/t/p/w500/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg";"14,9153";"16549"
"426";"Vertigo";"https://image.tmdb.org/t/p/w500/15uOEfqBNTVtDUT7hGBVCka0rZz.jpg";"5,5113";"5968"
"429";"The Good, the Bad and the Ugly";"https://image.tmdb.org/t/p/w500/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg";"17,4894";"9081"
"431";"Cube";"https://image.tmdb.org/t/p/w500/iNwm6fpDqQ4WjwhYI8EW6LPklod.jpg";"4,2148";"4912"
"433";"Mary Poppins";"https://image.tmdb.org/t/p/w500/ei8hhYCMfURfPOXKBnyl61be2iV.jpg";"6,3751";"4802"
"435";"The Day After Tomorrow";"https://image.tmdb.org/t/p/w500/Wr4HeYQRvwVCxzOV5TmGE7UkXq.jpg";"6,6527";"8387"
"451";"Leaving Las Vegas";"https://image.tmdb.org/t/p/w500/wTrFpGe3U65kXTldIUxuM2hmOAK.jpg";"3,7019";"1518"
"453";"A Beautiful Mind";"https://image.tmdb.org/t/p/w500/rEIg5yJdNOt9fmX4P8gU9LeNoTQ.jpg";"8,463";"10532"
"454";"Romeo + Juliet";"https://image.tmdb.org/t/p/w500/eLf4jclPijOqfEp6bDAmezRFxk5.jpg";"5,2828";"5112"
"455";"Bend It Like Beckham";"https://image.tmdb.org/t/p/w500/2dzSBmFWWqt8NbnubJKIWU21Y86.jpg";"2,8638";"1934"
